Язык-->Язык	количество ссылок	С домена	На домен
		elvira-kuklina.livejournal.com	mari-el.name
		elvira-kuklina.livejournal.com	mari-arslan.ru
		elvira-kuklina.livejournal.com	shketan.ru
		elvira-kuklina.livejournal.com	mincult12.ru
		elvira-kuklina.livejournal.com	mariuver.wordpress.com
		mariuver.wordpress.com	mariushem.ru
		mariuver.wordpress.com	kidsher.ru
		mariuver.wordpress.com	cholman.ru
		mariuver.wordpress.com	elvira-kuklina.livejournal.com
		mari-el.gov.ru	mari-centr.ru
		mari-el.gov.ru	shketan.ru
		mari-arslan.ru	mer-kanash.ru
		mari-arslan.ru	mari-el.gov.ru
		mari-arslan.ru	mincult12.ru
		mari-centr.ru	zojadudina.ru
		kidsher.ru	mari-el-radio.ru
		mari.nb12.ru	mincult12.ru
		elvira-kuklina.livejournal.com	mari-el-radio.ru
		elvira-kuklina.livejournal.com	mer-kanash.ru
		mariuver.wordpress.com	mari-arslan.ru
		mari-arslan.ru	mariuver.wordpress.com
		mari-el-radio.ru	shketan.ru
		mari-el-radio.ru	mariuver.wordpress.com
		kidsher.ru	gazetamariel.ru
		elvira-kuklina.livejournal.com	mari-centr.ru
		mariuver.wordpress.com	mer-kanash.ru
		mari-arslan.ru	elvira-kuklina.livejournal.com
		mincult12.ru	mari-el.gov.ru
		mincult12.ru	elvira-kuklina.livejournal.com
		mariuver.wordpress.com	shketan.ru
		mari-arslan.ru	xn--80afuoop2g.xn--p1ai
		kidsher.ru	vijar.wordpress.com
		elvira-kuklina.livejournal.com	esmetr.ru
		mincult12.ru	shketan.ru
		kidsher.ru	mer-kanash.ru
		kidsher.ru	zojadudina.ru
		mariushem.ru	mariuver.wordpress.com
		shketan.ru	xn--80afuoop2g.xn--p1ai
		kidsher.ru	mari-arslan.ru
		mari-arslan.ru	shketan.ru
		kidsher.ru	mariushem.ru
		sm-kushakov.ru	mariuver.wordpress.com
		mariuver.wordpress.com	zojadudina.ru
		mari-el.name	mishred.narod.ru
		kidsher.ru	mishred.narod.ru
		kidsher.ru	shketan.ru
		kidsher.ru	esmetr.ru
		kidsher.ru	mari-centr.ru
		kidsher.ru	mari-el.name
		kidsher.ru	cholman.ru
		sm-kushakov.ru	s-m-kushakov.narod.ru
		mari-arslan.ru	mari-el-radio.ru
		mari-el.name	gazetakugarnya.ru
		mari-el-radio.ru	gazetakugarnya.ru
		kidsher.ru	mariuver.wordpress.com
		mincult12.ru	mari-centr.ru
		mari-el-radio.ru	mer-kanash.ru
		elvira-kuklina.livejournal.com	cholman.ru
		mari-el-radio.ru	mincult12.ru
		mari-el-radio.ru	zojadudina.ru
		mari-arslan.ru	mishred.narod.ru
		mari-arslan.ru	esmetr.ru
		mari-arslan.ru	vijar.wordpress.com
		mari-arslan.ru	mari-el.name
		mari-arslan.ru	kidsher.ru
		mari-arslan.ru	cholman.ru
		elvira-kuklina.livejournal.com	mishred.narod.ru
		elvira-kuklina.livejournal.com	vijar.wordpress.com
		mari-el-radio.ru	mari-arslan.ru
Лугово-восточный марийский-->Татарский	2
		mari-arslan.ru	tatar-inform.ru
		kidsher.ru	tatar-inform.ru
Лугово-восточный марийский-->Удмуртский	2
		elvira-kuklina.livejournal.com	marjamoll.blogspot.ru
		kidsher.ru	izvestiaur.ru
Тувинский-->Тувинский	3
		lrd63.narod.ru	gov.tuva.ru
		shyn.ru	baitaiga.ru
		tigi.tuva.ru	shyn.ru
Чеченский-->Чеченский	15
		an-nur.ru	chechnyatoday.com
		stolicaplus.ru	chechnyatoday.com
		chechen.org.ua	chechnyatoday.com
		dinulislam.net	dinulislam.org
		chechnyatoday.com	an-nur.ru
		chechnyatoday.com	stolicaplus.ru
		chechnyatoday.com	orga-journal.ru
		radiomarsho.com	radiomarsho.mobi
		shalinsky.ru	mon95.ru
		dinulislam.org	dinulislam.net
		zori-islama.com	chechnyatoday.com
		mon95.ru	chechnyatoday.com
		dinulislam.org	koran-chechen.ucoz.ru
		dinulislam.net	koran-chechen.ucoz.ru
		shalinsky.ru	an-nur.ru
Чувашский-->Адыгейский	1
		chuvash.org	adygheya.ru
Чувашский-->Башкирский	1
		ursas.ru	bashinform.ru
Чувашский-->Бурятский	1
		chuvash.org	egov-buryatia.ru
Чувашский-->Коми-зырянский	1
		chuvash.org	rkomi.ru
Чувашский-->Лугово-восточный марийский	1
		chuvash.org	shketan.ru
Чувашский-->Татарский	5
		chuvash.org	tatar-inform.ru
		chuvash.org	gossov.tatarstan.ru
		chuvash.org	kzn.ru
		chuvbook.ru	tatar-inform.ru
		chuvash.org	nurlat.tatarstan.ru
Чувашский-->Тувинский	1
		chuvash.org	gov.tuva.ru
Чувашский-->Чувашский	39
		chuvbook.ru	chuvashia.rfn.ru
		chuvbook.ru	chgign.ru
		chuvbook.ru	ntrk21.ru
		chuvbook.ru	chuvrdub.ru
		chuvash.org	suvar.su
		chuvash.org	chuv-krarm.3dn.ru
		chuvash.org	lib.cap.ru
		chuvash.org	tavan-en.ru
		chuvash.org	chuvrdub.ru
		chuvash.org	nesterjankas.ucoz.ru
		chuvash.org	i-sum.su
		chuvash.org	chgign.ru
		chuvash.org	chuvashia.rfn.ru
		chuvash.org	smi21.ru
		chuvash.org	chuvbook.ru
		chuvash.org	ursas.ru
		chuvash.org	ntrk21.ru
		chgign.ru	chuvbook.ru
		chgign.ru	smi21.ru
		ru.termin.chv.su	chuvash.org
		chuv-krarm.3dn.ru	chuvash.org
		chuv-krarm.3dn.ru	ntrk21.ru
		nesterjankas.ucoz.ru	chuvash.org
		nesterjankas.ucoz.ru	ursas.ru
		nesterjankas.ucoz.ru	chuv-krarm.3dn.ru
		chgign.ru	chuvash.org
		chgign.ru	coop.chuvashia.ru
		chgign.ru	ntrk21.ru
		chuv-krarm.3dn.ru	nesterjankas.ucoz.ru
		chuv-krarm.3dn.ru	chgign.ru
		chuvbook.ru	chuvash.org
		nesterjankas.ucoz.ru	suvar.su
		chuvbook.ru	smi21.ru
		suvar.su	chuvash.org
		chgign.ru	chuvashia.rfn.ru
		i-sum.su	chuvbook.ru
		i-sum.su	chuvash.org
		i-sum.su	chgign.ru
		i-sum.su	suvar.su
Чувашский-->Якутский	1
		chuvash.org	sakha.gov.ru
Эрзя-мордовский-->Башкирский	1
		erzianj-jurnal.livejournal.com	tv-rb.ru
Эрзя-мордовский-->Лугово-восточный марийский	1
		erzianj-jurnal.livejournal.com	mari-el.name
Эрзя-мордовский-->Эрзя-мордовский	4
		erzianj-jurnal.livejournal.com	erzia.saransk.ru
		erzia.saransk.ru	goloserzi.ru
		erziana.my1.ru	erzianj-jurnal.livejournal.com
		erziana.my1.ru	erzia.saransk.ru
